ACB	96	1
ASW	61	2
BEB	86	3
CDX	93	4
CEU	99	5
CHB	103	6
CHS	105	7
CLM	94	8
ESN	99	9
FIN	99	10
GBR	91	11
GIH	103	12
GWD	113	13
IBS	106	14
IBS,MSL	1	15
ITU	102	16
JPT	104	17
KHV	99	18
LWK	99	19
MSL	85	20
MXL	64	21
PEL	85	22
PJL	96	23
PUR	104	24
STU	102	25
TSI	107	26
YRI	108	27
